"","Name","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","User_Score","Developer"
"124","Big Brain Academy","DS","2005","Misc","Nintendo",6.62,74,7.4,"Nintendo"
"126","Red Dead Redemption","PS3","2010","Action","Take-Two Interactive",6.49,95,8.8,"Rockstar San Diego"
"127","FIFA 14","PS3","2013","Sports","Electronic Arts",6.47,86,4.3,"EA Canada"
"128","Assassin's Creed III","PS3","2012","Action","Ubisoft",6.45,85,6.9,"Ubisoft"
"129","Donkey Kong Country Returns","Wii","2010","Platform","Nintendo",6.44,87,8.6,"Retro Studios"
"130","Halo: Combat Evolved","XB","2001","Shooter","Microsoft Game Studios",6.43,97,8.6,"Bungie Software"
"131","The Elder Scrolls V: Skyrim","PS3","2011","Role-Playing","Bethesda Softworks",6.41,92,6.4,"Bethesda Game Studios"
"132","Pokémon Emerald Version","GBA","2004","Role-Playing","Nintendo",6.41,76,9,"Game Freak"
"133","Kingdom Hearts","PS2","2002","Role-Playing","Sony Computer Entertainment",6.4,85,8.8,"SquareSoft"
"135","Halo 3: ODST","X360","2009","Shooter","Microsoft Game Studios",6.34,83,7.1,"Bungie Software, Bungie"
"136","Red Dead Redemption","X360","2010","Action","Take-Two Interactive",6.32,95,9,"Rockstar San Diego"
"137","Super Mario Sunshine","GC","2002","Platform","Nintendo",6.31,92,8.6,"Nintendo"
"139","World of Warcraft","PC","2004","Role-Playing","Activision",6.29,93,7.3,"Blizzard Entertainment"
"140","Driver","PS","1999","Action","GT Interactive",6.27,87,8.1,"Reflections Interactive"
"141","Gears of War 3","X360","2011","Shooter","Microsoft Game Studios",6.21,91,7.8,"Epic Games"
"142","Kinect Sports","X360","2010","Sports","Microsoft Game Studios",6.19,73,7.4,"Rare Ltd."
"143","Gears of War","X360","2006","Shooter","Microsoft Game Studios",6.09,94,8.3,"Epic Games"
"144","FIFA 15","PS4","2014","Sports","Electronic Arts",6.08,82,5.7,"EA Sports"
"145","Metal Gear Solid 2: Sons of Liberty","PS2","2001","Action","Konami Digital Entertainment",6.05,96,8.7,"KCEJ"
"147","Metal Gear Solid","PS","1998","Action","Konami Digital Entertainment",6.03,94,9.4,"KCEJ"
"148","Metal Gear Solid 4: Guns of the Patriots","PS3","2008","Action","Konami Digital Entertainment",5.99,94,8.7,"Kojima Productions"
"149","Final Fantasy XII","PS2","2006","Role-Playing","Square Enix",5.95,92,7.6,"Square Enix"
"150","The Last of Us","PS3","2013","Action","Sony Computer Entertainment Europe",5.87,95,9.1,"Naughty Dog"
"151","LittleBigPlanet","PS3","2008","Platform","Sony Computer Entertainment",5.82,95,6.8,"SCE/WWS, Media Molecule"
"152","Resident Evil 2","PS","1998","Action","Virgin Interactive",5.82,89,9.2,"Capcom"
"153","Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing","Nintendo",5.78,87,8.8,"Level 5"
"154","Tekken 2","PS","1996","Fighting","Sony Computer Entertainment",5.74,89,8.9,"Namco"
"155","Destiny","PS4","2014","Shooter","Activision",5.64,76,6.1,"Bungie Software, Bungie"
"156","LEGO Star Wars: The Complete Saga","Wii","2007","Action","LucasArts",5.64,80,8.9,"Traveller's Tales"
"157","Cooking Mama","DS","2006","Simulation","505 Games",5.63,67,7.2,"Taito Corporation"
"160","Assassin's Creed II","PS3","2009","Action","Ubisoft",5.55,91,8.6,"Ubisoft Montreal"
"161","Assassin's Creed","X360","2007","Adventure","Ubisoft",5.54,81,7.7,"Ubisoft Montreal"
"162","Forza Motorsport 3","X360","2009","Racing","Microsoft Game Studios",5.49,92,8,"Turn 10"
"163","Super Mario Advance","GBA","2001","Platform","Nintendo",5.49,84,7.8,"Nintendo"
"164","Monster Hunter Freedom Unite","PSP","2008","Role-Playing","Capcom",5.48,81,8.7,"Capcom"
"165","Batman: Arkham City","PS3","2011","Action","Warner Bros. Interactive Entertainment",5.48,96,8.6,"Rocksteady Studios"
"166","Grand Theft Auto V","XOne","2014","Action","Take-Two Interactive",5.48,97,7.9,"Rockstar North"
"167","Mario Kart: Super Circuit","GBA","2001","Racing","Nintendo",5.47,93,8.3,"Intelligent Systems"
"170","Crash Bandicoot: The Wrath of Cortex","PS2","2001","Platform","Universal Interactive",5.42,66,7.1,"Traveller's Tales"
"171","Call of Duty: World at War","PS3","2008","Shooter","Activision",5.39,85,7.6,"Treyarch"
"172","Uncharted 4: A Thief's End","PS4","2016","Shooter","Sony Computer Entertainment",5.38,93,7.9,"Naughty Dog"
"174","Final Fantasy XIII","PS3","2009","Role-Playing","Square Enix",5.33,83,7.3,"Square Enix"
"176","Final Fantasy IX","PS","2000","Role-Playing","SquareSoft",5.3,94,8.9,"SquareSoft"
"177","Assassin's Creed III","X360","2012","Action","Ubisoft",5.29,84,6.7,"Ubisoft"
"178","Final Fantasy X-2","PS2","2003","Role-Playing","Electronic Arts",5.29,85,6.6,"SquareSoft"
"180","Call of Duty: Advanced Warfare","XOne","2014","Shooter","Activision",5.27,81,5.4,"Sledgehammer Games"
"182","Assassin's Creed II","X360","2009","Action","Ubisoft",5.26,90,8.8,"Ubisoft Montreal"
"184","Madden NFL 2004","PS2","N/A","Sports","Electronic Arts",5.23,94,8.5,"EA Tiburon"
"186","New Super Mario Bros. U","WiiU","2012","Platform","Nintendo",5.22,84,8.1,"Nintendo"
"187","Dragon Quest VIII: Journey of the Cursed King","PS2","2004","Role-Playing","Square Enix",5.21,89,8.8,"Level 5"
"189","Professor Layton and the Curious Village","DS","2007","Puzzle","Nintendo",5.19,85,8.6,"Level 5"
"191","FIFA Soccer 13","X360","2012","Action","Electronic Arts",5.16,90,6.1,"Electronic Arts"
"193","Diablo III","PC","2012","Role-Playing","Activision",5.14,88,4,"Blizzard Entertainment"
"194","Medal of Honor: Rising Sun","PS2","2003","Shooter","Electronic Arts",5.13,68,7.6,"EA LA"
"197","Guitar Hero II","PS2","2006","Misc","RedOctane",5.12,92,8.5,"Harmonix Music Systems"
"198","Fable III","X360","2010","Role-Playing","Microsoft Game Studios",5.1,80,6.5,"Lionhead Studios"
"200","Resident Evil 5","PS3","2009","Action","Capcom",5.09,84,7.5,"Capcom"
"201","The Legend of Zelda: Phantom Hourglass","DS","2007","Action","Nintendo",5.08,90,8,"Nintendo"
"203","FIFA Soccer 11","PS3","2010","Sports","Electronic Arts",5.07,89,8,"EA Sports"
"204","Resident Evil","PS","1996","Action","Virgin Interactive",5.05,91,9,"Capcom"
"205","Grand Theft Auto: Vice City Stories","PSP","2006","Action","Take-Two Interactive",5.03,86,8,"Rockstar Leeds"
"206","Tony Hawk's Pro Skater","PS","1999","Sports","Activision",5.02,92,9.2,"Neversoft Entertainment"
"209","Guitar Hero III: Legends of Rock","PS2","2007","Misc","Activision",4.98,82,8.2,"Neversoft Entertainment, BudCat"
"210","Link's Crossbow Training","Wii","2007","Shooter","Nintendo",4.98,68,7.1,"Nintendo"
"212","Fallout 3","X360","2008","Role-Playing","Bethesda Softworks",4.93,93,8.5,"Bethesda Game Studios"
"213","Uncharted: Drake's Fortune","PS3","2007","Action","Sony Computer Entertainment",4.92,88,8.1,"Naughty Dog, SCE/WWS"
"214","Madden NFL 06","PS2","2005","Sports","Electronic Arts",4.91,88,8,"EA Sports"
"219","StarCraft II: Wings of Liberty","PC","2010","Strategy","Activision",4.84,93,8.2,"Blizzard Entertainment"
"220","Assassin's Creed","PS3","2007","Adventure","Ubisoft",4.82,81,7.3,"Ubisoft Montreal"
"221","God of War III","PS3","2010","Action","Sony Computer Entertainment",4.8,92,8.7,"SCE Santa Monica"
"222","Crash Team Racing","PS","1999","Racing","Sony Computer Entertainment",4.79,88,9,"Naughty Dog"
"223","LEGO Star Wars: The Complete Saga","DS","2007","Action","LucasArts",4.76,80,5.4,"TT Fusion"
"224","Driver 2","PS","2000","Action","Atari",4.73,62,7.7,"Reflections Interactive"
"225","Batman: Arkham City","X360","2011","Action","Warner Bros. Interactive Entertainment",4.73,94,8.7,"Rocksteady Studios"
"228","Tony Hawk's Pro Skater 2","PS","2000","Sports","Activision",4.68,98,7.7,"Neversoft Entertainment"
"229","The Lord of the Rings: The Two Towers","PS2","2002","Action","Electronic Arts",4.67,82,8.2,"Stormfront Studios"
"230","Tomb Raider","PS","1996","Action","Eidos Interactive",4.63,91,8.6,"Core Design Ltd."
"231","Animal Crossing: City Folk","Wii","2008","Simulation","Nintendo",4.62,73,7.6,"Nintendo"
"232","Uncharted: The Nathan Drake Collection","PS4","2015","Action","Sony Computer Entertainment",4.62,86,8.1,"Bluepoint Games"
"234","The Legend of Zelda: The Wind Waker","GC","2002","Action","Nintendo",4.6,96,8.9,"Nintendo"
"235","Guitar Hero III: Legends of Rock","Wii","2007","Misc","Activision",4.6,86,8.4,"Vicarious Visions"
"236","Luigi's Mansion: Dark Moon","3DS","2013","Action","Nintendo",4.59,86,8.4,"Next Level Games"
"237","Forza Motorsport 4","X360","2011","Racing","Microsoft Game Studios",4.57,91,8.2,"Turn 10"
"239","Madden NFL 2005","PS2","2004","Sports","Electronic Arts",4.53,91,7.9,"EA Tiburon"
"240","Guitar Hero III: Legends of Rock","X360","2007","Misc","Activision",4.53,85,7.9,"Neversoft Entertainment"
"242","Madden NFL 07","PS2","2006","Sports","Electronic Arts",4.49,84,8.2,"EA Sports"
"243","Halo 5: Guardians","XOne","2015","Shooter","Microsoft Game Studios",4.48,84,6.4,"343 Industries"
"244","Spider-Man: The Movie","PS2","2002","Action","Activision",4.48,76,7.9,"Treyarch"
"246","Call of Duty: Infinite Warfare","PS4","2016","Shooter","Activision",4.46,77,3.4,"Infinity Ward"
"247","God of War","PS2","2005","Action","Sony Computer Entertainment",4.45,94,8.9,"SCE Santa Monica"
"248","Splatoon","WiiU","2015","Shooter","Nintendo",4.43,81,8.5,"Nintendo"
"249","Nintendo Land","WiiU","2012","Misc","Nintendo",4.42,77,7.9,"Nintendo"
"250","Tony Hawk's Pro Skater 3","PS2","2001","Sports","Activision",4.41,97,7.5,"Neversoft Entertainment"
"251","Winning Eleven: Pro Evolution Soccer 2007","PS2","2006","Sports","Konami Digital Entertainment",4.39,86,8.9,"Konami"
"252","The Elder Scrolls IV: Oblivion","X360","2006","Role-Playing","Take-Two Interactive",4.38,94,8.7,"Bethesda Softworks"
"254","Need for Speed: Most Wanted","PS2","2005","Racing","Electronic Arts",4.37,82,9.1,"EA Canada"
"255","Michael Jackson: The Experience","Wii","2010","Misc","Ubisoft",4.36,56,8.3,"Ubisoft Paris, Ubisoft Montpellier"
"257","Resistance: Fall of Man","PS3","2006","Shooter","Sony Computer Entertainment",4.34,86,8.1,"Insomniac Games"
"259","Kingdom Hearts II","PS2","2005","Role-Playing","Square Enix",4.33,87,9,"Square Enix"
"261","Super Mario 3D World","WiiU","2013","Platform","Nintendo",4.32,93,9,"Nintendo"
"266","Fable II","X360","2008","Role-Playing","Microsoft Game Studios",4.27,89,6.5,"Lionhead Studios"
"267","Namco Museum","GBA","2001","Misc","Namco Bandai Games",4.24,79,7.3,"Mass Media"
"268","Batman: Arkham Asylum","PS3","2009","Action","Eidos Interactive",4.23,91,8.9,"Rocksteady Studios"
"269","Metal Gear Solid 3: Snake Eater","PS2","2004","Action","Konami Digital Entertainment",4.23,91,9.3,"KCEJ"
"270","Assassin's Creed: Revelations","PS3","2011","Action","Ubisoft",4.22,80,7.5,"Ubisoft Montreal"
"271","Fallout 4","XOne","2015","Role-Playing","Bethesda Softworks",4.22,88,6.2,"Bethesda Game Studios"
"272","FIFA 14","X360","2013","Sports","Electronic Arts",4.22,84,4.2,"EA Canada"
"273","Daxter","PSP","2006","Platform","Sony Computer Entertainment",4.21,85,8.7,"Ready at Dawn"
"275","FIFA Soccer 06","PS2","2005","Sports","Electronic Arts",4.21,80,7.8,"EA Canada"
"276","EyeToy Play","PS2","2003","Misc","Sony Computer Entertainment",4.2,80,7.5,"SCEE, Zoe Mode"
"277","Gran Turismo 5 Prologue","PS3","2007","Racing","Sony Computer Entertainment",4.19,80,7.1,"Polyphony Digital"
"278","Assassin's Creed: Revelations","X360","2011","Action","Ubisoft",4.19,80,7.2,"Ubisoft Montreal"
"281","Street Fighter IV","PS3","2009","Fighting","Capcom",4.16,94,7.3,"Capcom"
"284","Madden NFL 2003","PS2","2002","Sports","Electronic Arts",4.14,95,7.7,"EA Sports"
"285","Half-Life","PC","1997","Shooter","Vivendi Games",4.12,96,9.1,"Valve Software"
"289","World of Warcraft: The Burning Crusade","PC","2007","Role-Playing","Activision",4.09,91,7.9,"Blizzard Entertainment"
"290","Battlefield 1","PS4","2016","Shooter","Electronic Arts",4.08,88,8.4,"EA DICE"
"291","God of War II","PS2","2007","Action","Sony Computer Entertainment",4.07,93,8.9,"SCE Santa Monica"
"293","Fallout: New Vegas","X360","2010","Role-Playing","Bethesda Softworks",4.05,84,8.1,"Obsidian Entertainment"
"294","Forza Motorsport 2","X360","2007","Racing","Microsoft Game Studios",4.05,90,8.3,"Turn 10"
"295","Carnival Games","Wii","2007","Misc","Take-Two Interactive",4.05,56,6,"Cat Daddy Games"
"296","Watch Dogs","PS4","2014","Action","Ubisoft",4.05,80,6.3,"Ubisoft Montreal"
"298","Tekken Tag Tournament","PS2","2000","Fighting","Namco Bandai Games",4.05,85,8.5,"Namco"
"299","Far Cry 4","PS4","2014","Shooter","Ubisoft",4.04,85,7.7,"Ubisoft Montreal"
"303","Left 4 Dead 2","X360","2009","Shooter","Electronic Arts",3.97,89,8.6,"Valve Software"
"304","The Witcher 3: Wild Hunt","PS4","2015","Role-Playing","Namco Bandai Games",3.97,92,9.2,"CD Projekt Red Studio"
"305","Assassin's Creed: Unity","PS4","2014","Action","Ubisoft",3.96,70,4.9,"Ubisoft, Ubisoft Montreal"
"306","Batman: Arkham Knight","PS4","2015","Action","Warner Bros. Interactive Entertainment",3.95,87,7.6,"Rocksteady Studios"
"307","The Legend of Zelda: Skyward Sword","Wii","2011","Action","Nintendo",3.95,93,8,"Nintendo"
"308","Fallout 3","PS3","2008","Role-Playing","Bethesda Softworks",3.94,90,8,"Bethesda Game Studios"
"309","Professor Layton and the Diabolical Box","DS","2007","Puzzle","Nintendo",3.94,84,8.8,"Level 5"
"311","EA Sports Active","Wii","2009","Sports","Electronic Arts",3.9,81,8.7,"EA Canada"
"312","Tony Hawk's Underground","PS2","2003","Sports","Activision",3.9,90,8.7,"Neversoft Entertainment"
"313","Monster Hunter 4 Ultimate","3DS","2014","Role-Playing","Nintendo",3.89,86,8.7,"Capcom"
"314","The Elder Scrolls V: Skyrim","PC","2011","Role-Playing","Bethesda Softworks",3.88,94,8.1,"Bethesda Game Studios"
"315","NBA 2K16","PS4","2015","Sports","Take-Two Interactive",3.88,87,6.7,"Visual Concepts"
"316","Tekken 5","PS2","2005","Fighting","Namco Bandai Games",3.87,88,8.6,"Namco"
"318","MotorStorm","PS3","2006","Racing","Sony Computer Entertainment",3.87,84,7.4,"Evolution Studios"
"320","World Soccer Winning Eleven 8 International","PS2","2004","Sports","Konami Digital Entertainment",3.85,91,9.1,"KCET"
"321","Sports Champions","PS3","2010","Sports","Sony Computer Entertainment",3.84,76,7.9,"SCEA, Zindagi Games"
"324","Call of Duty: Ghosts","PS4","2013","Shooter","Activision",3.83,78,3.7,"Infinity Ward"
"325","Flash Focus: Vision Training in Minutes a Day","DS","2007","Misc","Nintendo",3.83,59,4,"Nintendo, Namco Bandai Games"
"326","Tom Clancy's The Division","PS4","2016","Shooter","Ubisoft",3.8,80,7,"Massive Entertainment"
"327","Big Brain Academy: Wii Degree","Wii","2007","Misc","Nintendo",3.79,68,6.9,"Nintendo"
"330","LEGO Indiana Jones: The Original Adventures","X360","2008","Action","Activision",3.76,77,7.5,"Traveller's Tales"
"331","The Sims: Unleashed","PC","2002","Simulation","Electronic Arts",3.76,79,8,"Maxis"
"333","Harry Potter and the Sorcerer's Stone","PS","2001","Action","Electronic Arts",3.73,64,7.5,"Argonaut Games"
"336","Super Paper Mario","Wii","2007","Platform","Nintendo",3.71,85,7.9,"Intelligent Systems"
"337","Spyro: Year of the Dragon","PS","2000","Platform","Sony Computer Entertainment",3.71,91,8.8,"Insomniac Games"
"338","Assassin's Creed IV: Black Flag","PS3","2013","Action","Ubisoft",3.71,88,8.1,"Ubisoft"
"339","FIFA Soccer 2005","PS2","2004","Sports","Electronic Arts",3.7,81,7.6,"EA Canada"
"342","Tony Hawk's Pro Skater 4","PS2","2002","Sports","Activision",3.67,94,8.5,"Neversoft Entertainment"
"344","MySims","DS","2007","Simulation","Electronic Arts",3.66,67,7.3,"TOSE"
"345","Midnight Club 3: DUB Edition","PSP","2005","Racing","Take-Two Interactive",3.65,74,8.4,"Rockstar Leeds"
"347","SOCOM: U.S. Navy SEALs","PS2","2002","Shooter","Sony Computer Entertainment",3.65,82,7.9,"Zipper Interactive"
"348","Jak and Daxter: The Precursor Legacy","PS2","2001","Platform","Sony Computer Entertainment",3.64,90,8.7,"Naughty Dog"
"350","Pro Evolution Soccer 2008","PS2","2007","Sports","Konami Digital Entertainment",3.63,82,7.9,"Konami"
"351","Resident Evil 4","PS2","2005","Action","Capcom",3.62,96,8.9,"Capcom"
"352","Guitar Hero: World Tour","Wii","2008","Misc","Activision",3.62,86,7.6,"Vicarious Visions"
"353","FIFA Soccer 10","PS3","2009","Sports","Electronic Arts",3.62,91,7.6,"EA Sports"
"354","Star Wars: Battlefront","PS2","2004","Shooter","LucasArts",3.61,82,8.7,"Pandemic Studios"
"356","The Simpsons: Road Rage","PS2","2001","Racing","Electronic Arts",3.61,64,7.7,"Fox Interactive"
"357","Luigi's Mansion","GC","2001","Action","Nintendo",3.6,78,8.5,"Nintendo"
"358","Battlefield 4","PS4","2013","Shooter","Electronic Arts",3.59,85,6.9,"EA DICE"
"359","Star Wars: Battlefront II","PS2","2005","Shooter","LucasArts",3.59,84,9,"Pandemic Studios"
"361","Cooking Mama 2: Dinner With Friends","DS","2007","Simulation","505 Games",3.58,70,8,"Office Create"
"364","Grand Theft Auto: Liberty City Stories","PS2","2006","Action","Take-Two Interactive",3.54,78,7.8,"Rockstar Leeds"
"365","The Getaway","PS2","2002","Action","Sony Computer Entertainment",3.54,72,6.8,"Team Soho"
"367","James Bond 007: Agent Under Fire","PS2","2001","Shooter","Electronic Arts",3.53,72,7.9,"EA Redwood Shores"
"370","FIFA Soccer 11","X360","2010","Sports","Electronic Arts",3.52,88,7.5,"EA Sports"
"372","Left 4 Dead","X360","2008","Shooter","Electronic Arts",3.51,89,7.9,"Certain Affinity"
"374","Assassin's Creed: Unity","XOne","2014","Action","Ubisoft",3.5,72,4.1,"Ubisoft, Ubisoft Montreal"
"376","Resident Evil 5","X360","2009","Action","Capcom",3.5,83,7.5,"Capcom"
"377","Assassin's Creed: Brotherhood","X360","2010","Action","Ubisoft",3.49,89,8.3,"Ubisoft Montreal"
"378","FIFA Soccer 2004","PS2","N/A","Sports","Electronic Arts",3.49,84,6.4,"EA Canada"
"379","Battlefield 4","PS3","2013","Shooter","Electronic Arts",3.49,80,5.8,"EA DICE"
"380","Batman: Arkham Asylum","X360","2009","Action","Eidos Interactive",3.48,92,8.7,"Rocksteady Studios"
